whale_wallet,total_trades,win_rate,profit_factor,net_profit,lane
FcvvJvHU1jk5Y5JqjsuoSwzqgiqTAdxmzbggYmVQWJMD,5296,0.5952045133991537,1.0,132761.86818220877,Sniper
28eGXeTNGrhWm4cAL3feEnu5gpuxSsbtxv6iXnrRUfUv,10237,0.712289156626506,1.0,95929.0645678255,Sniper
1mGRiNd5QgddUpASfGRftpQRKMB2peE5hj1gMF6f5Hp,17972,0.6256871564217891,1.0,91256.18158975284,Sniper
Anubis512ho5t7S6LNSwoxUWdeQmX2kf3RvZ8ApHHF5w,63324,0.3706853426713357,1.0,75811.20334406596,Sniper
4sWPwW2BwGgGX7L4eGe5XCsAe4fLVU8yCjusH1icH6MW,13794,0.660377358490566,1.0,69966.9526590855,Sniper
GVVP8N7jnxgr3QdtR461bsuCNNQmuNu4DBW2Ab4tzKVp,171041,0.47415955845459107,1.0,54010.591267556316,Sniper
omegoMAe1AMY5MFKQQr3JwXVy8F4eCvmBAfcpo8XAfq,99092,0.46146146146146144,1.0,45430.49932910873,Sniper
gWTmSBYYJhDf8kM9CKdej7pL96Jjq7rhTiBd6pyv2Yb,27014,0.5970751386787695,1.0,20841.246300246952,Sniper
HyYNVYmnFmi87NsQqWzLJhUTPBKQUfgfhdbBa554nMFF,72,0.18181818181818182,1.0,15222.67645332649,Sniper
FZGHSr8GerEkeSYnFFCvgNgTbgZ1GxnS8ivg3aMnQend,553,0.5102040816326531,1.0,10576.039525451402,Sniper
bTiNAiDWsAzuDvqf1vGcv3GuvgLxVvaj76KABoqkJa6,2947,0.3119891008174387,1.0,9140.180213525888,Sniper
9vLE2KuTgVUy1Z1iW6gfoDteTkSrt4F3T9wsKiX49cBi,3830,0.32962138084632514,1.0,3286.097443986605,Sniper
AePSLXMTWNgpDgHXRxNREqDHqKbY4zpRpWytkM6zSNHa,3786,0.31403118040089084,1.0,2044.9032882594915,Sniper
HL21JxTAz47cACacpiEWBMSWwoWDUALobHkNZ1HD1C7P,3794,0.311804008908686,1.0,1302.2976018593554,Sniper
BCYtCrywdgAsox5htAt7sq3mCWxwonXq82DHCofT46xk,4523,0.25975975975975973,1.0,1270.15443346222,Sniper
Ci4qecoTMPkkhXSr7Ttw8tp4sF5i8BhQtKKE26vDR8RZ,177,0.3225806451612903,1.0,1177.8372466676344,Sniper
FHpcNSe6tb2n15bAdq4BkeYWGyZKFD7yLYrH92ng7wCT,3280,0.041666666666666664,1.0,911.7259807343738,Sniper
7FQ7k1LbjiSuD1zLHegpvjEnTr4F6nvRw4XoKVx3T2ZR,117,0.4888888888888889,1.0,778.44547663322,Sniper
5Sf96PcBq5MQobdbwFCyovXb1JxJbeH7JQYCJSqwSyJT,2218,0.24,1.0,666.4965129121654,Sniper
AWuDDxfwUy1wXzbYJXehrJem1vyBDKv1o2uHb2fLJw1m,3753,0.31026785714285715,1.0,563.6253821242215,Sniper
5tQmqYYoYvXiBvsoqAgVL6i9JpJMVxvpVsgZEaazyK5A,1630,0.8846153846153846,1.0,483.34196376023806,Sniper
JBZFnxuvJLLXUk3JMvdjaVCnsBAnigaWbs8qG3qo5AMK,1920,0.47540983606557374,1.0,392.58792089339545,Sniper
FkUJqboWZsEPGDKmMBVSMFaRWgoJUtrqFUeM9GgrYm4z,52,0.47058823529411764,1.0,385.95289274227764,Sniper
6Ac5gF2v1eFJRjHHnKyEFTNY3mqkcmTSSs9twugzr3Uk,2098,0.2835820895522388,1.0,380.02865885874553,Sniper
EknoSUh5Xat13seVvDU5SLV7gFqSDErvJ42SNNmG6Boa,2572,0.34558823529411764,1.0,324.8425584216802,Sniper
AFQyb1m5P3GoYUpgB5T3HonYP1WWAzhGRKpL8okaf1AQ,10133,0.3493292053663571,1.0,271.23571426114,Sniper
HvTiBcJm11ET1WLpyboHgFob7xFDUQ7ZYY3CHAMmyHuD,88,0.5142857142857142,1.0,219.57103656237,Sniper
CemayMaAnBhErFPqe5gq1wqMAAPyvwrxna7EkcFEgMJx,165,0.34375,1.0,114.66218279917221,Sniper
3vncL9VDhkWA5YtnS2sngbRLJYYoQdpovL2tPqhFfaLK,1261,0.4531645569620253,1.0,107.5215895474441,Sniper
8gqs1CV6MKQh6kuarTPqrNSWVv2AAY4T41CfXMkj699M,479,0.5063291139240507,1.0,6.77190097515,Sniper
XGqpChiohw1ZPX11vyeNUGxV12a6TcBej2tbJg9iwzC,434,0.4411764705882353,1.0,2.781200938808291,Sniper
8fsxJ5ab6DnNdfwUmAwqEtXwGHToEcvTqUPWN67kSdv6,66,0.43478260869565216,1.0,0.39704912845,Sniper
6F5Pq2yTw8sYJdGAiYNHw7Ndr8eNvu1rxxJtanSPRSDS,1,0.0,1.0,0.0,Sniper
